time,utId,servedSatId,elev_deg,dist_km,numCandidates
0,0,-1,nan,nan,0
10,0,-1,nan,nan,0
20,0,-1,nan,nan,0
30,0,-1,nan,nan,0
40,0,-1,nan,nan,0
50,0,-1,nan,nan,0
60,0,-1,nan,nan,0
70,0,-1,nan,nan,0
80,0,-1,nan,nan,0
90,0,-1,nan,nan,0
100,0,-1,nan,nan,0
110,0,-1,nan,nan,0
120,0,-1,nan,nan,0
130,0,-1,nan,nan,0
140,0,-1,nan,nan,0
150,0,-1,nan,nan,0
160,0,-1,nan,nan,0
170,0,-1,nan,nan,0
180,0,-1,nan,nan,0
190,0,-1,nan,nan,0
200,0,-1,nan,nan,0
210,0,-1,nan,nan,0
220,0,-1,nan,nan,0
230,0,-1,nan,nan,0
240,0,-1,nan,nan,0
250,0,-1,nan,nan,0
260,0,-1,nan,nan,0
270,0,-1,nan,nan,0
280,0,-1,nan,nan,0
290,0,-1,nan,nan,0
300,0,-1,nan,nan,0
310,0,-1,nan,nan,0
320,0,-1,nan,nan,0
330,0,-1,nan,nan,0
340,0,-1,nan,nan,0
350,0,-1,nan,nan,0
360,0,-1,nan,nan,0
370,0,-1,nan,nan,0
380,0,-1,nan,nan,0
390,0,-1,nan,nan,0
400,0,-1,nan,nan,0
410,0,-1,nan,nan,0
420,0,-1,nan,nan,0
430,0,-1,nan,nan,0
440,0,-1,nan,nan,0
450,0,-1,nan,nan,0
460,0,-1,nan,nan,0
470,0,-1,nan,nan,0
480,0,-1,nan,nan,0
490,0,-1,nan,nan,0
500,0,-1,nan,nan,0
510,0,-1,nan,nan,0
520,0,-1,nan,nan,0
530,0,-1,nan,nan,0
540,0,-1,nan,nan,0
550,0,-1,nan,nan,0
560,0,-1,nan,nan,0
570,0,-1,nan,nan,0
580,0,-1,nan,nan,0
590,0,-1,nan,nan,0
600,0,-1,nan,nan,0
610,0,-1,nan,nan,0
620,0,-1,nan,nan,0
630,0,-1,nan,nan,0
640,0,-1,nan,nan,0
650,0,-1,nan,nan,0
660,0,-1,nan,nan,0
670,0,-1,nan,nan,0
680,0,-1,nan,nan,0
690,0,-1,nan,nan,0
700,0,-1,nan,nan,0
710,0,-1,nan,nan,0
720,0,-1,nan,nan,0
730,0,-1,nan,nan,0
740,0,-1,nan,nan,0
750,0,-1,nan,nan,0
760,0,-1,nan,nan,0
770,0,-1,nan,nan,0
780,0,-1,nan,nan,0
790,0,-1,nan,nan,0
800,0,-1,nan,nan,0
810,0,-1,nan,nan,0
820,0,-1,nan,nan,0
830,0,-1,nan,nan,0
840,0,-1,nan,nan,0
850,0,-1,nan,nan,0
860,0,-1,nan,nan,0
870,0,-1,nan,nan,0
880,0,-1,nan,nan,0
890,0,-1,nan,nan,0
900,0,-1,nan,nan,0
910,0,-1,nan,nan,0
920,0,-1,nan,nan,0
930,0,-1,nan,nan,0
940,0,-1,nan,nan,0
950,0,-1,nan,nan,0
960,0,-1,nan,nan,0
970,0,-1,nan,nan,0
980,0,-1,nan,nan,0
990,0,-1,nan,nan,0
1000,0,-1,nan,nan,0
1010,0,-1,nan,nan,0
1020,0,-1,nan,nan,0
1030,0,-1,nan,nan,0
1040,0,-1,nan,nan,0
1050,0,-1,nan,nan,0
1060,0,-1,nan,nan,0
1070,0,-1,nan,nan,0
1080,0,-1,nan,nan,0
1090,0,-1,nan,nan,0
1100,0,-1,nan,nan,0
1110,0,-1,nan,nan,0
1120,0,-1,nan,nan,0
1130,0,-1,nan,nan,0
1140,0,-1,nan,nan,0
1150,0,-1,nan,nan,0
1160,0,-1,nan,nan,0
1170,0,-1,nan,nan,0
1180,0,-1,nan,nan,0
1190,0,-1,nan,nan,0
1200,0,-1,nan,nan,0
1210,0,-1,nan,nan,0
1220,0,-1,nan,nan,0
1230,0,-1,nan,nan,0
1240,0,-1,nan,nan,0
1250,0,-1,nan,nan,0
1260,0,-1,nan,nan,0
1270,0,-1,nan,nan,0
1280,0,-1,nan,nan,0
1290,0,-1,nan,nan,0
1300,0,-1,nan,nan,0
1310,0,-1,nan,nan,0
1320,0,-1,nan,nan,0
1330,0,-1,nan,nan,0
1340,0,-1,nan,nan,0
1350,0,-1,nan,nan,0
1360,0,-1,nan,nan,0
1370,0,-1,nan,nan,0
1380,0,-1,nan,nan,0
1390,0,-1,nan,nan,0
1400,0,-1,nan,nan,0
1410,0,-1,nan,nan,0
1420,0,-1,nan,nan,0
1430,0,-1,nan,nan,0
1440,0,-1,nan,nan,0
1450,0,-1,nan,nan,0
1460,0,-1,nan,nan,0
1470,0,-1,nan,nan,0
1480,0,-1,nan,nan,0
1490,0,-1,nan,nan,0
1500,0,-1,nan,nan,0
1510,0,-1,nan,nan,0
1520,0,-1,nan,nan,0
1530,0,-1,nan,nan,0
1540,0,-1,nan,nan,0
1550,0,-1,nan,nan,0
1560,0,-1,nan,nan,0
1570,0,-1,nan,nan,0
1580,0,-1,nan,nan,0
1590,0,-1,nan,nan,0
1600,0,-1,nan,nan,0
1610,0,-1,nan,nan,0
1620,0,-1,nan,nan,0
1630,0,-1,nan,nan,0
1640,0,-1,nan,nan,0
1650,0,-1,nan,nan,0
1660,0,-1,nan,nan,0
1670,0,-1,nan,nan,0
1680,0,-1,nan,nan,0
1690,0,-1,nan,nan,0
1700,0,-1,nan,nan,0
1710,0,-1,nan,nan,0
1720,0,-1,nan,nan,0
1730,0,-1,nan,nan,0
1740,0,-1,nan,nan,0
1750,0,-1,nan,nan,0
1760,0,-1,nan,nan,0
1770,0,-1,nan,nan,0
1780,0,-1,nan,nan,0
1790,0,-1,nan,nan,0
1800,0,-1,nan,nan,0
1810,0,-1,nan,nan,0
1820,0,-1,nan,nan,0
1830,0,-1,nan,nan,0
1840,0,-1,nan,nan,0
1850,0,-1,nan,nan,0
1860,0,-1,nan,nan,0
1870,0,-1,nan,nan,0
1880,0,-1,nan,nan,0
1890,0,-1,nan,nan,0
1900,0,-1,nan,nan,0
1910,0,-1,nan,nan,0
1920,0,-1,nan,nan,0
1930,0,-1,nan,nan,0
1940,0,-1,nan,nan,0
1950,0,-1,nan,nan,0
1960,0,-1,nan,nan,0
1970,0,-1,nan,nan,0
1980,0,-1,nan,nan,0
1990,0,-1,nan,nan,0
2000,0,-1,nan,nan,0
2010,0,-1,nan,nan,0
2020,0,-1,nan,nan,0
2030,0,-1,nan,nan,0
2040,0,-1,nan,nan,0
2050,0,-1,nan,nan,0
2060,0,-1,nan,nan,0
2070,0,-1,nan,nan,0
2080,0,-1,nan,nan,0
2090,0,-1,nan,nan,0
2100,0,-1,nan,nan,0
2110,0,-1,nan,nan,0
2120,0,-1,nan,nan,0
2130,0,-1,nan,nan,0
2140,0,-1,nan,nan,0
2150,0,-1,nan,nan,0
2160,0,-1,nan,nan,0
2170,0,-1,nan,nan,0
2180,0,-1,nan,nan,0
2190,0,-1,nan,nan,0
2200,0,-1,nan,nan,0
2210,0,-1,nan,nan,0
2220,0,-1,nan,nan,0
2230,0,-1,nan,nan,0
2240,0,-1,nan,nan,0
2250,0,-1,nan,nan,0
2260,0,-1,nan,nan,0
2270,0,-1,nan,nan,0
2280,0,-1,nan,nan,0
2290,0,-1,nan,nan,0
2300,0,-1,nan,nan,0
2310,0,-1,nan,nan,0
2320,0,-1,nan,nan,0
2330,0,-1,nan,nan,0
2340,0,-1,nan,nan,0
2350,0,-1,nan,nan,0
2360,0,-1,nan,nan,0
2370,0,-1,nan,nan,0
2380,0,-1,nan,nan,0
2390,0,-1,nan,nan,0
2400,0,-1,nan,nan,0
2410,0,-1,nan,nan,0
2420,0,-1,nan,nan,0
2430,0,-1,nan,nan,0
2440,0,-1,nan,nan,0
2450,0,-1,nan,nan,0
2460,0,-1,nan,nan,0
2470,0,-1,nan,nan,0
2480,0,-1,nan,nan,0
2490,0,-1,nan,nan,0
2500,0,-1,nan,nan,0
2510,0,-1,nan,nan,0
2520,0,-1,nan,nan,0
2530,0,-1,nan,nan,0
2540,0,-1,nan,nan,0
2550,0,-1,nan,nan,0
2560,0,-1,nan,nan,0
2570,0,-1,nan,nan,0
2580,0,-1,nan,nan,0
2590,0,-1,nan,nan,0
2600,0,-1,nan,nan,0
2610,0,-1,nan,nan,0
2620,0,-1,nan,nan,0
2630,0,-1,nan,nan,0
2640,0,-1,nan,nan,0
2650,0,-1,nan,nan,0
2660,0,-1,nan,nan,0
2670,0,-1,nan,nan,0
2680,0,-1,nan,nan,0
2690,0,-1,nan,nan,0
2700,0,-1,nan,nan,0
2710,0,-1,nan,nan,0
2720,0,-1,nan,nan,0
2730,0,-1,nan,nan,0
2740,0,-1,nan,nan,0
2750,0,-1,nan,nan,0
2760,0,-1,nan,nan,0
2770,0,-1,nan,nan,0
2780,0,-1,nan,nan,0
2790,0,-1,nan,nan,0
2800,0,58,10.0379878155345,1929.61203829056,1
2810,0,58,10.0593086843456,1928.13006203604,1
2820,0,58,10.0469253964622,1928.99060146714,1
2830,0,58,10.000942845317,1932.1909028015,1
2840,0,-1,nan,nan,0
2850,0,-1,nan,nan,0
2860,0,57,10.0472870719034,1928.96546001358,1
2870,0,57,10.179452745347,1919.80990513962,1
2880,0,57,10.2787418425947,1912.97339969729,1
2890,0,57,10.344249817197,1908.4823321264,1
2900,0,57,10.3753664795225,1906.35445301915,1
2910,0,57,10.3717950950789,1906.59850168144,1
2920,0,57,10.3335597346091,1909.21416441366,1
2930,0,57,10.2610034925923,1914.19215592612,1
2940,0,57,10.1547784811314,1921.51436647794,2
2950,0,56,10.3216602806378,1910.02927214519,2
2960,0,56,10.4664564270898,1900.14532114011,1
2970,0,56,10.5777237774859,1892.60103231759,1
2980,0,56,10.6544238914175,1887.42617658425,1
2990,0,56,10.695828645636,1884.64132865671,1
3000,0,56,10.7015337906763,1884.25808158006,1
3010,0,56,10.6714747467629,1886.27861500846,1
3020,0,56,10.6059273518621,1890.69574442476,2
3030,0,56,10.5055012047497,1897.4929282964,2
3040,0,55,10.5983972384577,1891.20416324433,2
